filename,public_id,folder,url,cloudinary_url,format,width,height,size_kb,created_at,resource_type
panel-015_iw4bxq,panel-015_iw4bxq,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223523/panel-015_iw4bxq.jpg,cloudinary://dk9ywbxu1/image/upload/panel-015_iw4bxq,jpg,720,7237,294,2025-10-23T12:45:23Z,image
panel-011_dw8anm,panel-011_dw8anm,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223523/panel-011_dw8anm.jpg,cloudinary://dk9ywbxu1/image/upload/panel-011_dw8anm,jpg,720,5881,434,2025-10-23T12:45:23Z,image
panel-012_ivgcr9,panel-012_ivgcr9,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223523/panel-012_ivgcr9.jpg,cloudinary://dk9ywbxu1/image/upload/panel-012_ivgcr9,jpg,720,6300,390,2025-10-23T12:45:23Z,image
panel-009_tqxjsf,panel-009_tqxjsf,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223517/panel-009_tqxjsf.jpg,cloudinary://dk9ywbxu1/image/upload/panel-009_tqxjsf,jpg,720,7112,334,2025-10-23T12:45:17Z,image
panel-008_iudava,panel-008_iudava,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223516/panel-008_iudava.jpg,cloudinary://dk9ywbxu1/image/upload/panel-008_iudava,jpg,720,5563,348,2025-10-23T12:45:16Z,image
panel-007_jtj8ll,panel-007_jtj8ll,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223515/panel-007_jtj8ll.jpg,cloudinary://dk9ywbxu1/image/upload/panel-007_jtj8ll,jpg,720,5897,318,2025-10-23T12:45:15Z,image
panel-003_gkgn7s,panel-003_gkgn7s,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223514/panel-003_gkgn7s.jpg,cloudinary://dk9ywbxu1/image/upload/panel-003_gkgn7s,jpg,720,5535,363,2025-10-23T12:45:14Z,image
panel-006_ry52yu,panel-006_ry52yu,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223514/panel-006_ry52yu.jpg,cloudinary://dk9ywbxu1/image/upload/panel-006_ry52yu,jpg,720,7511,539,2025-10-23T12:45:14Z,image
panel-014_bmht2y,panel-014_bmht2y,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223513/panel-014_bmht2y.jpg,cloudinary://dk9ywbxu1/image/upload/panel-014_bmht2y,jpg,720,6035,318,2025-10-23T12:45:13Z,image
panel-004_jqf5pt,panel-004_jqf5pt,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223513/panel-004_jqf5pt.jpg,cloudinary://dk9ywbxu1/image/upload/panel-004_jqf5pt,jpg,720,5850,223,2025-10-23T12:45:13Z,image
panel-005_wrigqj,panel-005_wrigqj,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223513/panel-005_wrigqj.jpg,cloudinary://dk9ywbxu1/image/upload/panel-005_wrigqj,jpg,720,5534,442,2025-10-23T12:45:13Z,image
